id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2015;SEX_MLE;15.02
;;2016;SEX_FMLE;10.28
;;2010;SEX_FMLE;2.29
;;2013;SEX_FMLE;5.15
;;2019;SEX_BTSX;12.0
;;2019;SEX_MLE;16.13
;;2018;SEX_FMLE;6.45
;;2012;SEX_BTSX;9.87
;;2017;SEX_BTSX;11.91
;;2012;SEX_FMLE;2.42
;;2021;SEX_BTSX;31.77
;;2009;SEX_BTSX;14.5
;;2015;SEX_FMLE;6.09
;;2002;SEX_BTSX;5.59
;;2020;SEX_BTSX;3.77
;;2016;SEX_MLE;21.59
;;2017;SEX_FMLE;2.19
;;2004;SEX_MLE;28.02
;;2008;SEX_MLE;9.76
;;2011;SEX_MLE;6.31
;;2007;SEX_MLE;15.94
;;2017;SEX_FMLE;7.58
;;2017;SEX_FMLE;0.39
;;2007;SEX_MLE;32.9
;;2004;SEX_BTSX;6.07
;;2021;SEX_MLE;7.15
;;2007;SEX_BTSX;8.2
;;2017;SEX_FMLE;3.96
;;2017;SEX_FMLE;5.83
;;2012;SEX_MLE;11.61
;;2002;SEX_FMLE;6.25
;;2012;SEX_BTSX;6.95
;;2020;SEX_FMLE;1.17
;;2016;SEX_BTSX;11.0
;;2018;SEX_BTSX;3.49
;;2016;SEX_MLE;26.47
;;2014;SEX_BTSX;3.63
;;2006;SEX_BTSX;9.69
;;2000;SEX_FMLE;6.41
;;2011;SEX_MLE;24.05
;;2011;SEX_FMLE;8.0
;;2008;SEX_FMLE;0.73
;;2016;SEX_BTSX;8.18
;;2017;SEX_FMLE;2.57
;;2001;SEX_FMLE;7.17
;;2006;SEX_MLE;8.41
;;2001;SEX_BTSX;10.7
;;2014;SEX_FMLE;5.31
;;2000;SEX_BTSX;14.03
;;2006;SEX_MLE;7.05
;;2009;SEX_FMLE;6.6
;;2004;SEX_FMLE;3.52
;;2001;SEX_FMLE;0.9
;;2002;SEX_MLE;30.54
;;2006;SEX_MLE;16.13
;;2019;SEX_FMLE;3.38
;;2007;SEX_BTSX;16.84
;;2006;SEX_FMLE;10.93
;;2018;SEX_BTSX;2.65
;;2012;SEX_BTSX;1.66
;;2020;SEX_MLE;9.15
;;2015;SEX_FMLE;4.09
;;2015;SEX_BTSX;11.59
;;2004;SEX_BTSX;16.33
;;2004;SEX_FMLE;1.51
;;2015;SEX_MLE;47.56
;;2016;SEX_FMLE;5.64
;;2004;SEX_BTSX;2.13
;;2008;SEX_FMLE;3.78
;;2017;SEX_BTSX;7.97
;;2006;SEX_MLE;8.97
;;2013;SEX_FMLE;0.39
;;2016;SEX_BTSX;27.58
;;2010;SEX_FMLE;7.99
;;2000;SEX_BTSX;2.6
;;2017;SEX_MLE;10.86
;;2012;SEX_BTSX;5.52
;;2004;SEX_BTSX;21.91
;;2005;SEX_MLE;8.66
;;2013;SEX_MLE;15.92
;;2006;SEX_BTSX;5.63
;;2001;SEX_MLE;2.73
;;2002;SEX_BTSX;15.74
;;2009;SEX_BTSX;9.07
;;2001;SEX_FMLE;4.07
;;2007;SEX_MLE;19.31
;;2020;SEX_FMLE;5.27
;;2010;SEX_MLE;1.05
;;2019;SEX_MLE;2.52
;;2002;SEX_MLE;27.27
;;2004;SEX_FMLE;1.47
;;2011;SEX_BTSX;9.42
;;2019;SEX_BTSX;13.53
;;2005;SEX_BTSX;12.9
;;2013;SEX_MLE;20.86
;;2014;SEX_BTSX;6.76
;;2017;SEX_FMLE;6.99
;;2019;SEX_BTSX;11.87
;;2006;SEX_FMLE;6.74
;;2014;SEX_BTSX;5.19
;;2003;SEX_FMLE;1.04
;;2002;SEX_FMLE;3.4
;;2013;SEX_BTSX;3.73
;;2007;SEX_MLE;35.2
;;2000;SEX_MLE;26.88
;;2006;SEX_BTSX;4.31
;;2011;SEX_BTSX;9.34
;;2002;SEX_FMLE;10.82
;;2015;SEX_BTSX;8.1
;;2013;SEX_BTSX;3.92
;;2012;SEX_MLE;7.86
;;2021;SEX_BTSX;7.61
;;2016;SEX_FMLE;0.57
;;2005;SEX_FMLE;2.41
;;2004;SEX_FMLE;3.51
;;2004;SEX_MLE;23.56
;;2007;SEX_MLE;8.83
;;2015;SEX_FMLE;2.66
;;2011;SEX_FMLE;7.74
;;2010;SEX_BTSX;8.39
;;2004;SEX_MLE;6.17
;;2018;SEX_BTSX;15.1
;;2019;SEX_BTSX;11.53
;;2003;SEX_MLE;5.88
;;2017;SEX_BTSX;13.27
;;2003;SEX_BTSX;2.63
;;2012;SEX_MLE;11.51
;;2008;SEX_MLE;19.07
;;2019;SEX_FMLE;2.74
;;2001;SEX_BTSX;9.89
;;2005;SEX_MLE;16.09
;;2004;SEX_BTSX;11.68
;;2010;SEX_FMLE;18.82
;;2013;SEX_FMLE;2.72
;;2000;SEX_MLE;9.51
;;2001;SEX_BTSX;10.99
;;2008;SEX_FMLE;6.23
;;2011;SEX_FMLE;8.33
;;2015;SEX_BTSX;30.06
;;2009;SEX_MLE;37.94
;;2012;SEX_MLE;35.91
;;2015;SEX_FMLE;0.69
;;2009;SEX_BTSX;10.92
;;2019;SEX_FMLE;8.63
;;2010;SEX_BTSX;19.13
;;2012;SEX_BTSX;1.56
;;2007;SEX_BTSX;3.93
;;2011;SEX_MLE;17.47
;;2014;SEX_FMLE;2.74
;;2005;SEX_BTSX;12.97
;;2020;SEX_MLE;12.38
;;2011;SEX_MLE;14.65
;;2012;SEX_MLE;5.47
;;2016;SEX_MLE;7.16
;;2008;SEX_BTSX;7.44
;;2005;SEX_MLE;1.05
;;2016;SEX_FMLE;4.2
;;2021;SEX_FMLE;2.95
;;2012;SEX_MLE;8.7
;;2021;SEX_BTSX;7.79
;;2009;SEX_MLE;29.92
;;2006;SEX_BTSX;12.83
;;2016;SEX_MLE;0.65
;;2021;SEX_MLE;4.94
;;2011;SEX_BTSX;6.49
;;2001;SEX_MLE;13.87
;;2004;SEX_MLE;30.17
;;2013;SEX_BTSX;9.49
;;2021;SEX_MLE;12.38
;;2004;SEX_FMLE;6.08
;;2014;SEX_FMLE;8.0
;;2000;SEX_FMLE;0.43
;;2020;SEX_MLE;19.42
;;2000;SEX_BTSX;21.47
;;2005;SEX_BTSX;5.21
;;2011;SEX_MLE;16.51
;;2003;SEX_MLE;16.95
;;2012;SEX_MLE;2.13
;;2012;SEX_FMLE;4.05
;;2004;SEX_BTSX;22.01
;;2013;SEX_FMLE;4.31
;;2018;SEX_BTSX;12.97
;;2018;SEX_FMLE;8.03
;;2008;SEX_MLE;0.54
;;2008;SEX_FMLE;0.73
;;2011;SEX_MLE;13.54
;;2016;SEX_MLE;24.22
;;2012;SEX_BTSX;19.9
;;2008;SEX_FMLE;2.83
;;2012;SEX_FMLE;4.87
;;2001;SEX_BTSX;14.85
;;2002;SEX_FMLE;5.66
;;2004;SEX_BTSX;22.28
;;2021;SEX_BTSX;16.63
;;2014;SEX_MLE;7.93
;;2013;SEX_MLE;17.37
;;2010;SEX_MLE;13.18
;;2021;SEX_BTSX;3.9
;;2004;SEX_FMLE;8.66
;;2004;SEX_MLE;25.88
;;2015;SEX_FMLE;6.45
;;2002;SEX_BTSX;8.46
;;2003;SEX_MLE;20.22
;;2016;SEX_FMLE;4.64
;;2005;SEX_FMLE;0.84
;;2014;SEX_MLE;8.18
;;2009;SEX_FMLE;5.18
;;2020;SEX_MLE;15.67
;;2000;SEX_FMLE;6.11
;;2005;SEX_FMLE;2.58
;;2006;SEX_FMLE;2.26
;;2013;SEX_FMLE;6.25
;;2011;SEX_FMLE;4.94
;;2012;SEX_BTSX;5.39
;;2020;SEX_FMLE;5.2
;;2009;SEX_FMLE;6.7
;;2011;SEX_BTSX;11.59
;;2000;SEX_BTSX;12.58
;;2020;SEX_BTSX;14.25
;;2020;SEX_FMLE;14.21
;;2004;SEX_MLE;16.83
